Date,Description,Amount
2025-01-01,Payroll - Acme Corp,4200.00
2025-01-02,Rent - Oakwood Apartments,-1650.00
2025-01-04,NETFLIX.COM,-15.49
2025-01-05,Whole Foods Market #221,-86.40
2025-01-06,Spotify Premium,-11.99
2025-01-07,Starbucks Store 118,-6.75
2025-01-08,PlanetFitness Gym,-24.99
2025-01-09,Comcast Internet,-79.99
2025-01-11,State Electric Utility,-104.00
2025-01-12,iCloud+ Storage,-2.99
2025-01-14,Shell Gas Station,-48.20
2025-01-17,Trader Joe's,-72.10
2025-01-19,Amazon.com,-63.44
2025-01-22,Chipotle,-14.30
2025-01-24,Uber Trip,-19.80
2025-01-27,DoorDash,-31.15
2025-02-01,Payroll - Acme Corp,4200.00
2025-02-02,Rent - Oakwood Apartments,-1650.00
2025-02-04,NETFLIX.COM,-15.49
2025-02-05,Safeway,-94.22
2025-02-06,Spotify Premium,-11.99
2025-02-08,PlanetFitness Gym,-24.99
2025-02-09,Comcast Internet,-79.99
2025-02-10,CVS Pharmacy,-27.60
2025-02-11,State Electric Utility,-98.50
2025-02-12,iCloud+ Storage,-2.99
2025-02-13,Starbucks Store 118,-7.20
2025-02-16,Whole Foods Market #221,-101.75
2025-02-18,Target,-58.90
2025-02-20,Shell Gas Station,-51.05
2025-02-23,Chipotle,-15.10
2025-02-26,Amazon.com,-39.99
2025-03-01,Payroll - Acme Corp,4200.00
2025-03-02,Rent - Oakwood Apartments,-1650.00
2025-03-04,NETFLIX.COM,-15.49
2025-03-05,Trader Joe's,-68.30
2025-03-06,Spotify Premium,-11.99
2025-03-08,PlanetFitness Gym,-24.99
2025-03-09,Comcast Internet,-79.99
2025-03-11,State Electric Utility,-112.75
2025-03-12,iCloud+ Storage,-2.99
2025-03-15,Freelance project payment,850.00
2025-03-16,Whole Foods Market #221,-88.60
2025-03-18,Uber Trip,-22.40
2025-03-21,Best Buy,-129.99
2025-03-24,Starbucks Store 118,-6.75
2025-03-27,DoorDash,-28.50
